sentiment,review_body,product_category
-1,Looks lovely in the picture but looks poorly made in person  runs very small. i returned it.,Blouses
-1,I liked the design and i didn't mind that is see through  but i couldn't put it on ! not size 8 what is my usual size   not size 10 or 12  even 14! my shoulders wouldn't go through the middle part and it is not stretchy   so disappointed. i really wanted to like it.,Blouses
-1,The price is high and i have to dry clean this? no thanks.,Blouses
-1,I was so excited to order this top - it looked like it was made of more sturdy  soft cotton  but sadly after receiving it today i found that to not be true. it's incredibly sheer - you'd have to wear a cami underneath  which defeated the point for me. the pleating in the front hides your bra  but you can see it from all other angles (i tried it on with an unlined nude lace bra  which can easily hide under sheer clothing). i was hoping to be able to wear it on its own without a cami and for it to,Blouses
-1,I tried this blouse on in the store. i'm generally an 8 or 10 in this brand. i got down to a size 4 and gave up. this blouse is huge all the way around. the detail on the blouse is pretty  but the tent like cut made it impossible for me to buy it. i know retailers blouses can be swingy and flows but this went way beyond. perhaps on a tall person the swing would work but on a short person like myself...i looked ridiculous.,Blouses
-1,Beautiful in pictures and i loved it before i tried it on. as the other reviews state  it is short and wide. i like the top so much  i am going to try to add some gathering across the back to offer some shape. otherwise it is an unflattering shapeless box :(,Blouses
-1,I bought both colors based on the reviews and really like the prints. however  they are too sheer. i don't want to wear a tank top  but you have to with these tops since they are so sheer. i can also see the fabric tearing easily  it is too delicate. i sent both colors back. what a waste because the prints and colors are good. these tops are also not for busty ladies. i have a big bust  and the top part didn't cover my entire bust and was awkward because the division between the fabrics would st,Blouses
-1,This is a cute top but it runs pretty big. order a size down. the material is like a thick gauze almost  so i'd definitely wear a tank under.,Blouses
-1,I was so looking forward to receiving this in the mail! when it arrived  i was very disappointed. the color is more mauve than dusty pink  and the fabric is stiff and wrinkled.....not at all what i expect velvet to be (flowy and soft). the fabric seems very cheap for the price point.  i usually like floreat  but this one is headed right back to the store!,Blouses
0,"It does run large as most reviewers noted. i opted for the pxs and it was still very large and the way that the elastic at the top hit me it bunched funny and made my chest look huge and i'm only a b cup. it added a good two cup sizes to my chest and it just looked odd. the length of the petite was good for me at only 5'4"" so the length did not overwhelm but the width was still really too wide. love the fabric and the lace at the hemline. it just wasn't for me but for those it works for it is be",Blouses
0,Fell in love with the look of this top in the store but they didn't have it in my size (0) -- thought i'd try the 2 as the 0 was sold out online as well. alas  the fit is rather tentlike -- it did not drape as i had hoped. a beautiful and unique pattern on the right body  but on my slight frame it was not flattering. it's going back to retailer.,Blouses
0,The shirt was cute. i'm very petite and it ran very wide so didn't fit me well.,Blouses
0,This brand has odd fitting of late. i normally wear a m in retailer tops but i had to size up to 12 on this shirt as it was tight across my chest. i am a b cup and had a sports bra on when i tried it. brought it home and tried on with a regular  non pushup bra and it pulls slightly. i might return it because my guess is that it will shrink when washed. otherwise  its a cute tunic style top.,Blouses
0,First off the prints are gorgeous - i ordered three. i wanted to love them but unfortunately i found them short and wide. so back they go..,Blouses
0,The stylist had me try this top on off the shoulders  but that was kind of snug  perhaps why it didn't fit right  it is not off the shoulders on this picture. the cut is loose  so it looked big on me  but going smaller would not have worked the way i had it on... may give it another try on. xs was big  so would need to try the xxs next time. but off the shoulders looked nice on the lady who was smaller built next to me!    colors are nice  light  but appropriate for fall (or summer!) light fabri,Blouses
0,I so wanted to love this top. i first ordered in the medium because previous reviews said it ran large. i got the medium and it ran so small in the arms that i could almost not get it off with ripping it. so i ordered an xl hoping that would work. unfortunately it ran just as small i'm the arms and i had to return.,Blouses
0,"This top fits like shown in the pictures. however  i bought the rose color and thought it was a little ""off"". would have loved to find the ivory in my size.",Blouses
0,So this is still a pretty cute shirt  but my xs is missing the ruffle in the front and has layers on the bottom front of shirt. it doesn't seem to be defective  just a different version of the shirt. i'm curious to find out from others if they have gotten the same shirt as i have. still deciding whether to keep or not. no more left in xs to place another order and see what's up. i do wish it had the ruffle in front  as that is what caught my eye.,Blouses
1,"I purchased the blue stripes and the black cat prints on sale and i'm very pleased. they each fit me a little differently as the black cats fit tighter through the arms  the stripes remain a bit looser throughout. no complaints here! i like the variation. i ordered a size small as i'm normally a size small (36c  135 lbs  5'2"").",Blouses
1,I received this in the mail a few days ago  and was so pleased with it except that it was huge! i am normally a 10/12 in most things so i ordered a large. i was swimming in it in all areas - shoulders and bust bothered me most because i need a waist on shirts so i don't look larger than i am. i liked it enough to o ahead and order a size down. i ordered a medium and medium petite because the top is quite long and i think i could get away with wearing it with leggings or tights if i were looking,Blouses
